idestudiante;almuerzo;Curso de preparacion para examenes;Nivel de educacion de los padres;Raza/etnia
10012010;Gratis/Reducido;ninguna;alguna educacion superior;group C
10012011;Pago/Premiun;completado;alguna educacion superior;group A
10012012;Pago/Premiun;completado;grado asociado;group E
10012013;Gratis/Reducido;ninguna;grado asociado;group D
10012014;Pago/Premiun;ninguna;maestria;group B
10012015;Gratis/Reducido;completado;escuela secundaria;group B
10012016;Pago/Premiun;completado;grado asociado;group C
10012017;Pago/Premiun;completado;licenciatura;group C
10012018;Pago/Premiun;completado;algun instituto;group B
10012019;Gratis/Reducido;ninguna;algun instituto;group E
10012020;Pago/Premiun;ninguna;alguna educacion superior;group B
10012021;Gratis/Reducido;ninguna;grado asociado;group C
10012022;Gratis/Reducido;ninguna;maestria;group C
10012023;Pago/Premiun;ninguna;escuela secundaria;group B
10012024;Gratis/Reducido;ninguna;alguna educacion superior;group D
10012025;Gratis/Reducido;ninguna;escuela secundaria;group D
10012026;Pago/Premiun;completado;algun instituto;group E
10012027;Pago/Premiun;ninguna;escuela secundaria;group B
10012028;Gratis/Reducido;completado;grado asociado;group E
10012029;Pago/Premiun;ninguna;escuela secundaria;group D
10012030;Gratis/Reducido;ninguna;grado asociado;group E
10012031;Pago/Premiun;ninguna;alguna educacion superior;group E
10012032;Pago/Premiun;ninguna;grado asociado;group C
10012033;Pago/Premiun;completado;algun instituto;group C
10012034;Pago/Premiun;completado;algun instituto;group C
10012035;Pago/Premiun;ninguna;grado asociado;group E
10012036;Pago/Premiun;ninguna;alguna educacion superior;group B
10012037;Pago/Premiun;ninguna;alguna educacion superior;group C
10012038;Gratis/Reducido;ninguna;alguna educacion superior;group A
10012039;Gratis/Reducido;ninguna;alguna educacion superior;group D
10012040;Gratis/Reducido;ninguna;escuela secundaria;group E
10012041;Pago/Premiun;ninguna;escuela secundaria;group C
10012042;Pago/Premiun;ninguna;licenciatura;group B
10012043;Pago/Premiun;ninguna;algun instituto;group A
10012044;Gratis/Reducido;ninguna;escuela secundaria;group A
10012045;Pago/Premiun;completado;maestria;group C
10012046;Pago/Premiun;completado;algun instituto;group E
10012047;Pago/Premiun;ninguna;escuela secundaria;group C
10012048;Pago/Premiun;completado;algun instituto;group B
10012049;Pago/Premiun;ninguna;licenciatura;group A
10012050;Gratis/Reducido;completado;licenciatura;group D
10012051;Gratis/Reducido;ninguna;escuela secundaria;group B
10012052;Pago/Premiun;ninguna;algun instituto;group C
10012053;Pago/Premiun;completado;algun instituto;group A
10012054;Gratis/Reducido;ninguna;licenciatura;group D
10012055;Gratis/Reducido;completado;alguna educacion superior;group E
10012056;Gratis/Reducido;ninguna;escuela secundaria;group B
10012057;Gratis/Reducido;ninguna;algun instituto;group C
10012058;Pago/Premiun;ninguna;escuela secundaria;group C
10012059;Gratis/Reducido;completado;grado asociado;group C
10012060;Pago/Premiun;ninguna;algun instituto;group C
10012061;Gratis/Reducido;completado;algun instituto;group D
10012062;Pago/Premiun;ninguna;algun instituto;group B
10012063;Gratis/Reducido;ninguna;alguna educacion superior;group A
10012064;Gratis/Reducido;completado;licenciatura;group C
10012065;Pago/Premiun;ninguna;licenciatura;group A
10012066;Pago/Premiun;completado;escuela secundaria;group B
10012067;Pago/Premiun;ninguna;alguna educacion superior;group B
10012068;Pago/Premiun;completado;escuela secundaria;group C
10012069;Pago/Premiun;ninguna;escuela secundaria;group E
10012070;Pago/Premiun;completado;escuela secundaria;group A
10012071;Gratis/Reducido;completado;grado asociado;group B
10012072;Pago/Premiun;ninguna;grado asociado;group C
10012073;Gratis/Reducido;ninguna;escuela secundaria;group D
10012074;Pago/Premiun;ninguna;algun instituto;group C
10012075;Gratis/Reducido;completado;escuela secundaria;group B
10012076;Gratis/Reducido;completado;alguna educacion superior;group B
10012077;Gratis/Reducido;completado;algun instituto;group D
10012078;Pago/Premiun;ninguna;maestria;group E
10012079;Pago/Premiun;completado;maestria;group C
10012080;Pago/Premiun;ninguna;escuela secundaria;group D
10012081;Pago/Premiun;ninguna;escuela secundaria;group C
10012082;Pago/Premiun;ninguna;grado asociado;group D
10012083;Pago/Premiun;ninguna;maestria;group C
10012084;Pago/Premiun;ninguna;escuela secundaria;group A
10012085;Pago/Premiun;ninguna;alguna educacion superior;group E
10012086;Pago/Premiun;ninguna;algun instituto;group E
10012087;Pago/Premiun;ninguna;algun instituto;group C
10012088;Pago/Premiun;ninguna;licenciatura;group B
10012089;Gratis/Reducido;ninguna;alguna educacion superior;group B
10012090;Pago/Premiun;ninguna;licenciatura;group C
10012091;Pago/Premiun;completado;escuela secundaria;group B
10012092;Gratis/Reducido;ninguna;grado asociado;group C
10012093;Pago/Premiun;ninguna;grado asociado;group C
10012094;Gratis/Reducido;ninguna;maestria;group E
10012095;Gratis/Reducido;completado;licenciatura;group D
10012096;Pago/Premiun;completado;alguna educacion superior;group C
10012097;Pago/Premiun;ninguna;grado asociado;group C
10012098;Pago/Premiun;completado;alguna educacion superior;group D
10012099;Gratis/Reducido;ninguna;escuela secundaria;group C
10012100;Pago/Premiun;ninguna;grado asociado;group B
10012101;Gratis/Reducido;completado;grado asociado;group E
10012102;Gratis/Reducido;ninguna;grado asociado;group C
10012103;Pago/Premiun;ninguna;escuela secundaria;group B
10012104;Pago/Premiun;completado;alguna educacion superior;group C
10012105;Pago/Premiun;completado;grado asociado;group B
10012106;Gratis/Reducido;ninguna;grado asociado;group E
10012107;Gratis/Reducido;ninguna;licenciatura;group C
10012108;Gratis/Reducido;ninguna;alguna educacion superior;group C
10012109;Pago/Premiun;ninguna;alguna educacion superior;group D
10012110;Pago/Premiun;ninguna;algun instituto;group C
10012111;Pago/Premiun;ninguna;algun instituto;group D
10012112;Pago/Premiun;ninguna;grado asociado;group D
10012113;Pago/Premiun;completado;licenciatura;group C
10012114;Pago/Premiun;completado;licenciatura;group E
10012115;Gratis/Reducido;ninguna;escuela secundaria;group B
10012116;Gratis/Reducido;ninguna;licenciatura;group D
10012117;Pago/Premiun;ninguna;grado asociado;group E
10012118;Pago/Premiun;completado;grado asociado;group C
10012119;Pago/Premiun;completado;grado asociado;group E
10012120;Gratis/Reducido;ninguna;escuela secundaria;group C
10012121;Gratis/Reducido;ninguna;alguna educacion superior;group D
10012122;Gratis/Reducido;ninguna;escuela secundaria;group D
10012123;Pago/Premiun;completado;alguna educacion superior;group E
10012124;Pago/Premiun;ninguna;grado asociado;group E
10012125;Gratis/Reducido;ninguna;maestria;group A
10012126;Pago/Premiun;completado;algun instituto;group D
10012127;Pago/Premiun;ninguna;grado asociado;group E
10012128;Gratis/Reducido;ninguna;algun instituto;group E
10012129;Gratis/Reducido;ninguna;escuela secundaria;group B
10012130;Gratis/Reducido;completado;algun instituto;group B
10012131;Pago/Premiun;completado;grado asociado;group D
10012132;Pago/Premiun;completado;algun instituto;group D
10012133;Pago/Premiun;ninguna;maestria;group D
10012134;Pago/Premiun;ninguna;maestria;group C
10012135;Gratis/Reducido;completado;escuela secundaria;group A
10012136;Gratis/Reducido;completado;licenciatura;group D
10012137;Gratis/Reducido;ninguna;algun instituto;group D
10012138;Pago/Premiun;ninguna;alguna educacion superior;group D
10012139;Pago/Premiun;ninguna;escuela secundaria;group B
10012140;Pago/Premiun;completado;alguna educacion superior;group D
10012141;Gratis/Reducido;ninguna;licenciatura;group C
10012142;Pago/Premiun;completado;licenciatura;group E
10012143;Gratis/Reducido;ninguna;licenciatura;group D
10012144;Pago/Premiun;ninguna;alguna educacion superior;group A
10012145;Pago/Premiun;completado;licenciatura;group C
10012146;Gratis/Reducido;completado;licenciatura;group C
10012147;Gratis/Reducido;ninguna;grado asociado;group B
10012148;Pago/Premiun;ninguna;alguna educacion superior;group E
10012149;Pago/Premiun;completado;licenciatura;group E
10012150;Pago/Premiun;ninguna;escuela secundaria;group C
10012151;Pago/Premiun;completado;grado asociado;group C
10012152;Pago/Premiun;completado;alguna educacion superior;group B
10012153;Gratis/Reducido;ninguna;escuela secundaria;group D
10012154;Gratis/Reducido;ninguna;escuela secundaria;group C
10012155;Pago/Premiun;ninguna;escuela secundaria;group D
10012156;Gratis/Reducido;ninguna;grado asociado;group B
10012157;Gratis/Reducido;ninguna;escuela secundaria;group D
10012158;Pago/Premiun;completado;algun instituto;group E
10012159;Gratis/Reducido;ninguna;grado asociado;group E
10012160;Gratis/Reducido;completado;escuela secundaria;group D
10012161;Gratis/Reducido;completado;grado asociado;group E
10012162;Gratis/Reducido;ninguna;algun instituto;group C
10012163;Gratis/Reducido;completado;alguna educacion superior;group C
10012164;Gratis/Reducido;ninguna;alguna educacion superior;group D
10012165;Gratis/Reducido;completado;grado asociado;group D
10012166;Gratis/Reducido;completado;licenciatura;group C
10012167;Pago/Premiun;completado;grado asociado;group C
10012168;Gratis/Reducido;ninguna;alguna educacion superior;group D
10012169;Pago/Premiun;ninguna;grado asociado;group A
10012170;Gratis/Reducido;ninguna;escuela secundaria;group E
10012171;Pago/Premiun;completado;alguna educacion superior;group D
10012172;Pago/Premiun;completado;algun instituto;group D
10012173;Gratis/Reducido;completado;maestria;group C
10012174;Pago/Premiun;ninguna;maestria;group D
10012175;Pago/Premiun;ninguna;escuela secundaria;group C
10012176;Gratis/Reducido;completado;algun instituto;group A
10012177;Pago/Premiun;ninguna;escuela secundaria;group B
10012178;Pago/Premiun;ninguna;grado asociado;group C
10012179;Pago/Premiun;ninguna;escuela secundaria;group B
10012180;Gratis/Reducido;ninguna;alguna educacion superior;group D
10012181;Gratis/Reducido;completado;algun instituto;group B
10012182;Gratis/Reducido;completado;escuela secundaria;group E
10012183;Pago/Premiun;ninguna;escuela secundaria;group E
10012184;Pago/Premiun;completado;alguna educacion superior;group D
10012185;Gratis/Reducido;ninguna;algun instituto;group E
10012186;Pago/Premiun;completado;escuela secundaria;group C
10012187;Pago/Premiun;ninguna;alguna educacion superior;group C
10012188;Pago/Premiun;ninguna;grado asociado;group E
10012189;Pago/Premiun;ninguna;alguna educacion superior;group C
10012190;Pago/Premiun;ninguna;maestria;group D
10012191;Pago/Premiun;ninguna;escuela secundaria;group D
10012192;Pago/Premiun;ninguna;escuela secundaria;group C
10012193;Pago/Premiun;ninguna;alguna educacion superior;group A
10012194;Gratis/Reducido;ninguna;algun instituto;group D
10012195;Pago/Premiun;ninguna;grado asociado;group E
10012196;Gratis/Reducido;completado;algun instituto;group C
10012197;Pago/Premiun;ninguna;alguna educacion superior;group D
10012198;Pago/Premiun;ninguna;alguna educacion superior;group D
10012199;Pago/Premiun;completado;algun instituto;group A
10012200;Pago/Premiun;ninguna;alguna educacion superior;group C
10012201;Pago/Premiun;ninguna;grado asociado;group E
10012202;Pago/Premiun;ninguna;licenciatura;group B
10012203;Pago/Premiun;ninguna;licenciatura;group D
10012204;Pago/Premiun;completado;algun instituto;group C
10012205;Gratis/Reducido;completado;escuela secundaria;group A
10012206;Gratis/Reducido;ninguna;alguna educacion superior;group D
10012207;Pago/Premiun;ninguna;alguna educacion superior;group A
10012208;Pago/Premiun;completado;alguna educacion superior;group C
10012209;Gratis/Reducido;completado;alguna educacion superior;group B
10012210;Pago/Premiun;ninguna;grado asociado;group C
